通しNo,フォルダ名,音声No,セリフ
1,1_名乗り,1,琴葉姉妹！
2,1_名乗り,2,二人揃って！
3,1_名乗り,3,我ら！
4,1_名乗り,4,茜です！！
5,1_名乗り,5,茜もいるよ！？
6,1_名乗り,6,茜もいますよ！！！
7,1_名乗り,7,居座ってやりますからね！！！！
8,2_ゲット,1,ゲット！
9,2_ゲット,2,ゲットなんやぜ！
10,2_ゲット,3,ゲットしたで！
11,3_対決,1,勝負！
12,3_対決,2,勝負だっ！
13,3_対決,3,勝負や！
14,3_対決,4,対決！
15,3_対決,5,対決だっ！
16,3_対決,6,対決や！
17,3_対決,7,決闘！
18,3_対決,8,決闘だ！
19,3_対決,9,決闘や！
20,3_対決,10,バトル！
21,3_対決,11,バトルだ！
22,3_対決,12,バトルや！
23,3_対決,13,マッチング遅ない？
24,4_戦闘系,1,ウチは…負けへん…っ！
25,5_勝ち,1,勝った！
26,5_勝ち,2,勝ったぜ！
27,5_勝ち,3,勝ったで！
28,5_勝ち,3-1,勝ったで！
29,5_勝ち,4,楽勝～♪
30,5_勝ち,5,きみが弱い！
31,5_勝ち,6,当然！
32,6_負け,1,負けた…
33,6_負け,2,完…敗…
34,6_負け,3,無…念…
35,6_負け,4,きみ、強いね！
36,6_負け,5,負け負け負け～！
37,6_負け,6,て、手ごわい…
38,6_負け,7,負けてもた…
39,7_レベルアップ,1,レベルアーップ！
40,7_レベルアップ,2,レベルゥ～↑ア～ップ！
41,7_レベルアップ,3,レベルアップや！
42,8_期待,1,ワーオ！
43,8_期待,2,やった～！
44,8_期待,3,すごい！
45,8_期待,4,わくわく…
46,8_期待,5,マジ！？
47,8_期待,6,マ！？
48,8_期待,7,楽しい！
49,8_期待,8,た～のし～！
50,9_退屈,1,おもんない！
51,9_退屈,2,つまらん！
52,9_退屈,3,お・も・ろ・な・い！！
53,9_退屈,4,おも～ん↑な～い↓
54,9_退屈,5,もう知らん！
55,10_謎,1,なぞ…
56,10_謎,2,なんで…
57,10_謎,3,ハテ…
58,10_謎,4,な、なんで…
59,10_謎,5,な…
60,10_謎,6,ん～…
61,10_謎,7,ん～～～？
62,11_ひどい,1,ひどい…
63,11_ひどい,2,ひどい！
64,11_ひどい,3,ひ～ど～い～！
65,11_ひどい,4,悲しみ…
66,11_ひどい,5,ひどいわぁ！
67,12_つらい,1,つらい…
68,12_つらい,2,つらい！
69,12_つらい,3,つ～ら～い！
70,12_つらい,4,つらっ…
71,12_つらい,5,つらいわぁ…
72,12_つらい,6,つらいねん！
73,13_悪,1,ウヒヒ…
74,13_悪,2,エヘヘ…
75,13_悪,3,ホ～ッホッホッホッ！
76,13_悪,4,ニィ～
77,13_悪,5,くっくっく…
78,13_悪,6,残念やったなぁ、トリックやで！
79,13_悪,7,やったか！？
80,13_悪,8,ほな…とっておきを見せたるわ！
81,13_悪,9,三下ァ！！
82,13_悪,10,本気で来いや
83,13_悪,11,もうお終いかいな？残念…
84,13_悪,12,チェックメイト…！
85,13_悪,13,…ア“ァ“？
86,13_悪,14,キレそう
87,13_悪,15,キレてる
88,13_悪,16,キレた
89,13_悪,17,絶ッ対に許さへんで！！
90,13_悪,18,頂点はうちらや！
91,13_悪,19,うちの勝ちや…！
92,13_悪,20,やらせへんで！
93,14_ホラー,1,ア“ア“ア“ア“ア“ア“…
94,14_ホラー,2,ヒィッ
95,14_ホラー,3,ギャアアアァァァ…
96,14_ホラー,4,ウッ
97,14_ホラー,5,ハァ…ハァ…
98,14_ホラー,6,ア“ア“ア“…
99,14_ホラー,7,ウ“ウ“ウ“…
100,14_ホラー,8,ダァーッ！
101,14_ホラー,9,ムリムリムリムリ！
102,14_ホラー,10,いやあああああ！！
103,14_ホラー,10-1,いやあああああ！！
104,14_ホラー,11,ハッハッハッハッ……
105,14_ホラー,11-1,ハッハッハッハッ……
106,14_ホラー,12,いややいややいややいやや……！
107,15_失敗,1,あちゃ～…
108,15_失敗,2,やってもた…
109,15_失敗,3,しまった…
110,15_失敗,4,無念…
111,15_失敗,5,ここまで…か…
112,15_失敗,6,失敗や…
113,15_失敗,7,失敗してもた…
114,15_失敗,8,あ～あ～…
115,15_失敗,9,い“ったぁ！！
116,15_失敗,10,うわーーー！！もう嫌やーーー！！！
117,15_失敗,11,アカーーーン！！
