通しNo,フォルダ名,音声No,セリフ
1,1_名乗り,1,琴葉姉妹！
2,1_名乗り,2,二人揃って！
3,1_名乗り,3,我ら！
4,1_名乗り,4,葵お姉ちゃんですよー？
5,1_名乗り,5,葵お姉さんですよー？
6,1_名乗り,6,葵ちゃんですよー？
7,1_名乗り,7,葵です！！
8,1_名乗り,8,葵もいるよ！？
9,1_名乗り,9,葵もいますよ！！！
10,1_名乗り,10,居座ってやりますからね！！！！
11,2_ゲット,1,ゲット！
12,2_ゲット,2,ゲットなんだぜ！
13,2_ゲット,3,ゲットだよ！
14,3_対決,1,勝負！
15,3_対決,2,勝負だっ！
16,3_対決,3,勝負するよ
17,3_対決,4,対決！
18,3_対決,5,対決だっ！
19,3_対決,6,対決だよ
20,3_対決,7,決闘！
21,3_対決,8,決闘だ！
22,3_対決,9,決闘だよ！
23,3_対決,10,バトル！
24,3_対決,11,バトルだ！
25,3_対決,12,バトルだよ！
26,3_対決,13,マッチング遅くない？
27,4_戦闘系,1,私は負けない…っ！
28,5_勝ち,1,勝った！
29,5_勝ち,2,勝ったぜ！
30,5_勝ち,3,楽勝～♪
31,5_勝ち,4,きみが弱い！
32,5_勝ち,5,当然！
33,5_勝ち,6,勝ったよぉ！
34,6_負け,1,負けた…
35,6_負け,2,完…敗…
36,6_負け,3,無…念…
37,6_負け,4,きみ、強いね！
38,6_負け,5,負け負け負け～！
39,6_負け,6,て、手ごわい…
40,6_負け,7,負けちゃった…
41,7_レベルアップ,1,レベルアーップ！
42,7_レベルアップ,2,レベルゥ～↑（溜め）ア～ップ！
43,7_レベルアップ,3,レベルアップだよ！
44,8_期待,1,ワーオ！
45,8_期待,2,やった～！
46,8_期待,3,すごい！
47,8_期待,4,わくわく…
48,8_期待,5,マジ！？
49,8_期待,6,マ！？
50,8_期待,6-1,マ！？
51,8_期待,7,楽しい！
52,8_期待,8,た～のし～！
53,9_退屈,1,つまんない！
54,9_退屈,2,つまらん！
55,9_退屈,3,つ・ま・ら・な・い！！
56,9_退屈,4,つま～ん↑な～い↓
57,9_退屈,5,もう知らないっ！
58,10_なぞ,1,なぞ…
59,10_なぞ,2,なぜ…
60,10_なぞ,3,ハテ…
61,10_なぞ,4,な、なんで…
62,10_なぞ,5,な…
63,10_なぞ,6,ん～…
64,10_なぞ,7,ん～～～？
65,11_ひどい,1,ひどい…
66,11_ひどい,2,ひどい！
67,11_ひどい,3,ひ～ど～い～！
68,11_ひどい,4,悲しみ…
69,11_ひどい,5,ひどいよぉ！
70,12_つらい,1,つらい…
71,12_つらい,2,つらい！
72,12_つらい,3,つ～ら～い！
73,12_つらい,4,つらっ…
74,12_つらい,5,つらいよぉ…
75,12_つらい,6,つらいい！
76,13_悪,1,ウヒヒ…
77,13_悪,2,エヘヘ…
78,13_悪,3,ホ～ッホッホッホッ！
79,13_悪,4,ニィ～
80,13_悪,5,くっくっく…
81,13_悪,6,残念だったなぁ、トリックだよ！
82,13_悪,7,やったか！？
83,13_悪,8,じゃあ…とっておきを見せてあげるよ！
84,13_悪,9,三下ァ！！
85,13_悪,10,本気で来てよね
86,13_悪,11,もうお終いかな？残念…
87,13_悪,12,チェックメイト…！
88,13_悪,13,…ア“ァ“？
89,13_悪,14,キレそう
90,13_悪,15,キレてる
91,13_悪,16,キレた
92,13_悪,17,絶ッ対に許さないよ！！
93,13_悪,18,頂点は私たちだ！
94,13_悪,19,私の勝ちだね…！
95,13_悪,20,やらせないよ！
96,14_ホラー,1,ア“ア“ア“ア“ア“ア“…
97,14_ホラー,2,ヒィッ
98,14_ホラー,3,ギャアアアァァァ…
99,14_ホラー,4,ウッ
100,14_ホラー,5,ハァ…ハァ…
101,14_ホラー,6,ア“ア“ア“…
102,14_ホラー,7,ウ“ウ“ウ“…
103,14_ホラー,8,ダァーッ！
104,14_ホラー,9,ムリムリムリムリ！
105,14_ホラー,10,いやあああああ！！
106,14_ホラー,10-1,いやあああああ！！
107,14_ホラー,11,ハッハッハッハッ……
108,14_ホラー,12,やだやだやだやだ……！
109,15_失敗,1,あちゃ～…
110,15_失敗,2,やっちゃった…
111,15_失敗,3,しまった…
112,15_失敗,4,無念…
113,15_失敗,5,ここまで…か…
114,15_失敗,6,失敗だ…
115,15_失敗,7,失敗しちゃった…
